title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place
DAV Chapter 2 - Fairbanks #02,dav-chapter-2-ak,local,Chapter 2,dav,DAV,world-war-1,World War I,AK,alaska,Fairbanks North Star Borough,fairbanks-north-star-borough,ak_02090,129 1st Ave,Fairbanks,99701,64.86790289999999,-147.6655278,true,907-322-6834,,http://www.davmembersportal.org/chapters/AK/02,,,,,,2,"1st Saturday, 10:00 AM","129 1st Ave, Fairbanks, AK 99701"
DAV Chapter 7 - Metro #07,dav-chapter-7-ak,local,Chapter 7,dav,DAV,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,6401 E Northern Lights Blvd,Anchorage,99504,,,false,907-223-6177,,http://www.davmembersportal.org/chapters/AK/07,,,,,,7,"3rd Thursday, 7:00 PM","6401 E Northern Lights Blvd, Anchorage, AK 99504"
DAV Chapter 1 - Tuscaloosa #1,dav-chapter-1-al,local,Chapter 1,dav,DAV,world-war-1,World War I,AL,alabama,Tuscaloosa County,tuscaloosa-county,al_01125,3801 Loop Rd,Tuscaloosa,35404,,,false,205-247-4862,,http://www.davmembersportal.org/chapters/AL/01,,,,,,1,"3rd Monday, 6:00 PM","3801 Loop Rd, Tuscaloosa, AL 35404"
DAV Chapter 4 - Birmingham #04,dav-chapter-4-al,local,Chapter 4,dav,DAV,world-war-1,World War I,AL,alabama,Jefferson County,jefferson-county,al_01073,238 2nd Ave N,Birmingham,35204,,,false,205-251-7413,,http://www.davmembersportal.org/chapters/AL/04,,,,,,4,"3rd Thursday, 6:30 PM","238 2nd Ave N, Birmingham, AL 35204"
DAV Chapter 6 - Klug Smith #6,dav-chapter-6-al,local,Chapter 6,dav,DAV,world-war-1,World War I,AL,alabama,Baldwin County,baldwin-county,al_01003,8648 Arlington Dr,Foley,36535,,,false,251-943-6328,,http://www.davmembersportal.org/chapters/AL/06,,,,,,6,"1st Saturday, 9:00 AM","8648 Arlington Dr, Foley, AL 36535"
DAV Chapter 7 - Shehan Pake #7,dav-chapter-7-al,local,Chapter 7,dav,DAV,world-war-1,World War I,AL,alabama,Mobile County,mobile-county,al_01097,5863 Nevius Rd,Mobile,36619,,,false,251-478-5080,,http://www.davmembersportal.org/chapters/AL/07,,,,,,7,"2nd Tuesday, 6:30 PM","5863 Nevius Rd, Mobile, AL 36619"
DAV Chapter 9 - Enterprise-Coffee Co #09,dav-chapter-9-al,local,Chapter 9,dav,DAV,world-war-1,World War I,AL,alabama,Dale County,dale-county,al_01045,8 N Pt Pkwy,Enterprise,36330,31.3362223,-85.8558839,true,334-308-2480,,http://www.davmembersportal.org/chapters/AL/09,,,,,,9,"2nd Thursday, 6:30 PM","8 N Pt Pkwy, Enterprise, AL 36330"
DAV Chapter 11 - W B Hendrix #11,dav-chapter-11-al,local,Chapter 11,dav,DAV,world-war-1,World War I,AL,alabama,Morgan County,morgan-county,al_01103,"108 Finley Dr, NW",Decatur,35601,,,false,256-565-6477,,http://www.davmembersportal.org/chapters/AL/11,,,,,,11,"3rd Tuesday, 7:00 PM","108 Finley Dr, NW, Decatur, AL 35601"
DAV Chapter 12 - J Paul Pitts #12,dav-chapter-12-al,local,Chapter 12,dav,DAV,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,215 Perry Hl Rd Bldg A Rm 104,Montgomery,36109,,,false,334-271-5077,,http://www.davmembersportal.org/chapters/AL/12,,,,,,12,"5th Thursday, 5:30 PM","215 Perry Hl Rd Bldg A Rm 104, Montgomery, AL 36109"
DAV Chapter 13 - Bill Nichols #13,dav-chapter-13-al,local,Chapter 13,dav,DAV,world-war-1,World War I,AL,alabama,Tallapoosa County,tallapoosa-county,al_01123,175 Aliant Pkwy,Alexander City,35010,,,false,719-360-5027,,http://www.davmembersportal.org/chapters/AL/13,,,,,,13,"3rd Monday, 6:00 PM","175 Aliant Pkwy, Alexander City, AL 35010"
