title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,source_url
FRA Branch 342 - Harrington Clemmons,fra-branch-342-ak,local,Branch 342,fra,FRA,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,245 W 22nd Ave,Anchorage,99503,61.2009351,-149.8863065,true,,,,,,,,,342,"Surrendered Charter 4/26/2024 1200, 3rd Tues.",monthly,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=342
"FRA Branch 76 - Al,South Alabama",fra-branch-76-al,local,Branch 76,fra,FRA,world-war-1,World War I,AL,alabama,Baldwin County,baldwin-county,al_01003,28683 Bay Branch Dr,Daphne,36526,30.64540319999999,-87.832741,true,,,,,,,,,76,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=076
FRA Branch 112 - Birmingham,fra-branch-112-al,local,Branch 112,fra,FRA,world-war-1,World War I,AL,alabama,Talladega County,talladega-county,al_01121,2823 Paper Town Rd.,Alpine,35014,33.2782157,-86.2134621,true,,,,,,,,,112,"1000, 4th Sat.,","AmLeg Post #255, 1834 Carson Rd, Fultondale, AL 35217",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=112
FRA Branch 278 - Uss Enterprise,fra-branch-278-al,local,Branch 278,fra,FRA,world-war-1,World War I,AL,alabama,Cullman County,cullman-county,al_01043,815 County Road 645,Hanceville,35077,34.1265991,-86.6999542,true,,,,,,,,,278,"1200, 4th Sat.","Greenbrier Restaurant, 27028 Old Hwy 20, Madison, AL",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=278
"FRA Branch 286 - Al, Montgomery",fra-branch-286-al,local,Branch 286,fra,FRA,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,,,,32.3798244,-86.3075741,true,,,,,,,,,286,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=286
"FRA Branch 384 - Al, Florence",fra-branch-384-al,local,Branch 384,fra,FRA,world-war-1,World War I,AL,alabama,Lauderdale County,lauderdale-county,al_01077,,,,34.79981,-87.677251,true,,,,,,,,,384,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=384
"FRA Branch 385 - Al, Jacksonville",fra-branch-385-al,local,Branch 385,fra,FRA,world-war-1,World War I,AL,alabama,Calhoun County,calhoun-county,al_01015,,,,33.8137125,-85.7613536,true,,,,,,,,,385,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=385
FRA Branch 386 - Wiregrass,fra-branch-386-al,local,Branch 386,fra,FRA,world-war-1,World War I,AL,alabama,Houston County,houston-county,al_01069,304 Kirkwood Dr,Dothan,36303,31.2445308,-85.4611218,true,,,,,,,,,386,"1130, 4th Wed.","Old Mill Restaurant, 2557 Mulrphy Mill Rd.",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=386
FRA Branch 227 - Ozark,fra-branch-227-ar,local,Branch 227,fra,FRA,world-war-1,World War I,AR,arkansas,Benton County,benton-county,ar_05007,1310 N D St,Springdale,72756,36.3454889,-94.1106732,true,,,,,,,,,227,"1200, 3rd Sat.","Wagon Wheel Country Cafe, 4080 N. Thompson St., Springdale, AR",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=227
FRA Branch 251 - Mountain Home,fra-branch-251-ar,local,Branch 251,fra,FRA,world-war-1,World War I,AR,arkansas,Baxter County,baxter-county,ar_05005,2068 Superior Way,Mountain Home,72653,36.3220496,-92.3672951,true,,,,,,,,,251,"1300, 3rd Sat.","AmLeg Post #52, 717 Market St., Mountain Home, AR",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=251
FRA Branch 282 - Arkansas,fra-branch-282-ar,local,Branch 282,fra,FRA,world-war-1,World War I,AR,arkansas,Faulkner County,faulkner-county,ar_05045,9 Nannie Goat Ln,Vilonia,72173,35.015351,-92.2264414,true,,,,,,,,,282,"1330, 3rd Sun.","Bethel Baptist Church, 112 N. Jeff Davis Ave., Jacksonville, AR",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=282
"FRA Branch 329 - Ar, Hot Springs",fra-branch-329-ar,local,Branch 329,fra,FRA,world-war-1,World War I,AR,arkansas,Garland County,garland-county,ar_05051,,,,34.5077615,-93.0546003,true,,,,,,,,,329,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=329
