title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,founding_year,mission,tagline,donation_url
101st Airborne Division Association,screamingeagle,hq,SCREAMINGEAGLE,,,world-war-2,World War II,KY,kentucky,Montgomery County,montgomery-county,ky_21173,PO Box 929 Fort,Campbell,42223,36.6634467,-87.4773902,true,931.431.0199,101exec@screamingeagle.org,https://screamingeagle.org/,,,,,https://www.linkedin.com/company/101st-airborne-division-association,1944,"Honor the memory of those who served in the 101st Airborne Division, maintain and strengthen the bonds of comradeship, provide for patriotic assembly, perpetuating Screaming Eagle spirit, heritage, and traditions for future generations.",,https://screamingeagle.org/donate
1st Air Commando Association,aircommando,hq,AIRCOMMANDO,,,world-war-2,World War II,FL,florida,Okaloosa County,okaloosa-county,fl_12091,PO Box 7 Mary,Esther,32569,30.4134833,-86.66665,true,850.581.0099,info@aircommando.org,https://aircommando.org/,https://www.facebook.com/acaadmin/,https://www.instagram.com/aircommandoassociationinc/,,,https://www.linkedin.com/company/air-commando-association,1969,"To serve Air Commandos and their families past, present, and future by preserving heritage, publishing the Air Commando Journal, conducting annual events, providing scholarships, and supporting Air Force Special Operations.",,https://aircommando.org/donate
1st Cavalry Division Association,1cda,hq,1CDA,,,world-war-1,World War I,TX,texas,Coryell County,coryell-county,tx_48099,N Main St. Copperas,Cove,76522,31.1286037,-97.899142,true,254.547.6537,firstcav@1cda.org,https://1cda.org/,https://www.facebook.com/alumniofthefirstteam,https://www.instagram.com/1stcavalrydivision/,,https://www.youtube.com/channel/ucmws0hv-atwuybhqm2usjlg/videos,,1944,Alumni of the First Team,,https://1cda.org/donate
1st Marine Division Association,1stmda,hq,1STMDA,,,world-war-2,World War II,CA,california,San Diego County,san-diego-county,ca_06073,3784 Mission Ave Suite 148/608,Oceanside,92058,33.1966755,-117.3785375,true,(760) 763 3268,,https://1stmda.org/,,,,,,1945,Once a Marine Always a Marine,,https://1stmda.org/donate
37th Division Association,37thdva,hq,37THDVA,,,world-war-1,World War I,OH,ohio,Franklin County,franklin-county,oh_39049,Chestnut St. Suite 512,Columbus,43215,39.9677235,-83.0007755,true,614-228-3788,mandy@37thdva.org,https://37thdva.org/,,,,,,,To preserve the history and traditions of the 37th Division and maintain fellowship among its veterans.,,https://37thdva.org/donate
401st Bombardment Group (H) Association,401bg,hq,401BG,,,world-war-2,World War II,AZ,arizona,Maricopa County,maricopa-county,az_04013,PO BOX 1320,Maricopa,85139,32.8668347,-112.049083,true,,,http://401bg.org/Main/,https://www.facebook.com/groups/147673731933385/,,,,,,,,http://401bg.org/Main/donate
8th Armored Division Association,8th-armored,hq,8TH-ARMORED,,,world-war-1,World War I,PA,pennsylvania,Philadelphia County,philadelphia-county,pa_42101,2345 E. Dauphin St.,Philadelphia,19125,39.9782545,-75.1262001,true,,,http://www.8th-armored.org/,http://www.facebook.com/groups/269231523148647/#!/groups/269231523148647/,,,,,,They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.,,http://www.8th-armored.org/donate
99th Infantry Division Association,99div,hq,99DIV,,,world-war-2,World War II,KS,kansas,Marion County,marion-county,ks_20115,117 S. 3rd St.,Marion,66861,38.3474932,-97.0203594,true,6963617469,editor@99div.com,https://99div.com/,,,,,,,To preserve the history of the 99th Infantry Division and honor its WWII veterans.,,https://99div.com/donate
AVSOPS Foundation,avsops-org,hq,AVSOPS.ORG,,avsops,war-on-terror,War on Terror,VA,,,,,"3682 King Street, Suite 16025",Alexandria,22302,,,false,202 844 6799,avsopsorg@gmail.com,https://avsops.org,https://www.facebook.com/avsops,https://www.instagram.com/avsops/,https://x.com/AVSOPSORGmin,https://www.youtube.com/@avsops547,,2025,"To preserve the stories of those who served, support veteran service organizations, and ensure future generations never forget the sacrifices made for freedom.",,
Air & Space Forces Association,afa,hq,AFA,,,world-war-2,World War II,VA,virginia,Arlington County,arlington-county,va_51013,STREET C6 SECOND FLOOR,ARLINGTON,22202,38.8501078,-77.0391754,true,(703) 247-5800,membership@afa.org,https://www.afa.org/,https://www.facebook.com/airandspaceforcesassociation,https://www.instagram.com/afa_air_space,,,https://www.linkedin.com/company/air-space-forces-association,1946,"To promote dominant U.S. Air and Space Forces as the foundation of a strong National Defense and to honor and support Airmen, Guardians, and their families.",,https://www.afa.org/donate
