title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,legion_riders,sons_of_american_legion,auxiliary,boys_state,baseball,oratorical_contest,commander,dues,meeting_info,mylegion_url
American Legion AK Post 0001,legion-post-0001-ak,local,Post 0001,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,840 W Fireweed Ln,Anchorage,99503,61.19858,-149.898662,true,(907) 272-5242,alaskapost1@gmail.com,https://www.alaskapost1.org,,,,,,,false,true,true,true,true,true,true,,60.0,Meetings 1st Thursday of each month @ 7:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000100L&@IP_IDENTITY_SCID=0
American Legion AK Post 0002,legion-post-0002-ak,local,Post 0002,legion,LEGION,world-war-1,World War I,AK,alaska,Valdez-Cordova Census Area,valdez-cordova-census-area,ak_02261,PO Box 1624,Valdez,99686-1624,61.1283,-146.3546,true,(907) 255-9396,,,,,,,,,false,true,true,false,true,true,true,Larry J Weaver,50.0,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000200L&@IP_IDENTITY_SCID=0
American Legion AK Post 0003,legion-post-0003-ak,local,Post 0003,legion,LEGION,world-war-1,World War I,AK,alaska,Ketchikan Gateway Borough,ketchikan-gateway-borough,ak_02130,632 Park Ave,Ketchikan,99901,55.3556,-131.6939,true,(907) 225-2021,jtcpost3@gmail.com,,,,,,,,false,true,true,true,true,true,true,Robert G Fullerton,65.0,Meetings every Monday of each week @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000300L&@IP_IDENTITY_SCID=0
American Legion AK Post 0004,legion-post-0004-ak,local,Post 0004,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,923 W 11th Ave,Anchorage,99501,0,0,false,(907) 343-7240,,,,,,,,,false,false,false,false,false,false,false,William E Jacobi,45.0,Meetings 1st Friday each month @ 1:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000400L&@IP_IDENTITY_SCID=0
American Legion AK Post 0005,legion-post-0005-ak,local,Post 0005,legion,LEGION,world-war-1,World War I,AK,alaska,Kenai Peninsula Borough,kenai-peninsula-borough,ak_02122,402 Fifth Ave,Seward,99664,60.1061,-149.438,true,(907) 224-5440,americanlegionpost5@gci.net,http://www.americanlegionpost5.com,,,,,,,false,true,true,false,true,true,true,Clare M Sullivan,60.0,Meetings 2nd Tuesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000500L&@IP_IDENTITY_SCID=0
American Legion AK Post 0006,legion-post-0006-ak,local,Post 0006,legion,LEGION,world-war-1,World War I,AK,alaska,Wrangell City and Borough,wrangell-city-and-borough,ak_02275,435 Alaska Ave,Wrangell,99929,56.4728,-132.3869,true,(907) 874-3860,wrangellpost6@gmail.com,,,,,,,,false,true,true,false,true,true,true,Mr Terrell S Courson Jr,45.0,Meetings 2nd Wednesday of each month @ 5:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000600L&@IP_IDENTITY_SCID=0
American Legion AK Post 0007,legion-post-0007-ak,local,Post 0007,legion,LEGION,world-war-1,World War I,AK,alaska,Skagway Municipality,skagway-municipality,ak_02230,701 State St,Skagway,99840,59.4592,-135.3076,true,(907) 983-2898,,,,,,,,,false,false,false,false,false,false,false,,50.0,Meetings to be determined,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000700L&@IP_IDENTITY_SCID=0
American Legion AK Post 0009,legion-post-0009-ak,local,Post 0009,legion,LEGION,world-war-1,World War I,AK,alaska,Fairbanks North Star Borough,fairbanks-north-star-borough,ak_02090,525 Ookpik Way,Fairbanks,99709,64.88264,-147.819288,true,(907) 347-1208,arctic.post9@gmail.com,,,,,,,,false,false,false,false,false,false,false,Edward A Rouleau,50.0,Meetings 1st Saturday in july at 1:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002000900L&@IP_IDENTITY_SCID=0
American Legion AK Post 0011,legion-post-0011-ak,local,Post 0011,legion,LEGION,world-war-1,World War I,AK,alaska,Fairbanks North Star Borough,fairbanks-north-star-borough,ak_02090,129 1st Ave,Fairbanks,99701,64.843996,-147.707853,true,(907) 452-2228,dhbpost11@gmail.com,,,,,,,,false,true,true,false,true,true,true,Brian M Tackett,60.0,Meetings 2nd and 4th Wednesday of each month @ 6:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001100L&@IP_IDENTITY_SCID=0
American Legion AK Post 0012,legion-post-0012-ak,local,Post 0012,legion,LEGION,world-war-1,World War I,AK,alaska,Haines Borough,haines-borough,ak_02100,190 2nd Ave,Haines,99827,59.23,-135.4432,true,(907) 766-2530,amerlegion@aptalaska.net,https://www.lynncanalpost12.org,,,,,,,false,true,true,false,true,true,true,Terrance W Pardee,55.0,Meetings 2nd Wednesday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001200L&@IP_IDENTITY_SCID=0
