title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number
The Alaska Department of the American Legion,legion_ak_02020,state,legion,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,1550 Charter Circle,Anchorage,99508,58.301935,-134.41974,true,(814) 765-1152,membership@legion.org,https://www.alaskalegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Alabama,legion_al_01101,state,legion,legion,LEGION,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,120 North Jackson,Montgomery,36104,32.361538,-86.279118,true,(800) 234-5544,membership@legion.org,https://www.legional.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Arkansas,legion_ar_05119,state,legion,legion,LEGION,world-war-1,World War I,AR,arkansas,Pulaski County,pulaski-county,ar_05119,P.O. Box 3280 -- 7th & Victory Street,Little Rock,72203,34.736009,-92.331122,true,(800) 433-3318,membership@legion.org,http://www.arlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of Arizona,legion_az_04013,state,legion,legion,LEGION,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,"3333 N. Central Ave, Suite 1048,",Phoenix,85012,33.448457,-112.073844,true,(800) 433-3318,membership@legion.org,https://www.azlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
California American Legion,legion_ca_06019,state,legion,legion,LEGION,world-war-1,World War I,CA,california,Fresno County,fresno-county,ca_06019,1601 7th St,Sanger,93657,38.555605,-121.468926,true,(800) 433-3318,membership@legion.org,https://www.calegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Department of Colorado American Legion,legion_co_08005,state,legion,legion,LEGION,world-war-1,World War I,CO,colorado,Arapahoe County,arapahoe-county,co_08005,7465 E. 1st Ave. Suite D,Denver,80230,39.739167,-104.984167,true,(610) 767-4142,jhavlick@legion.org,https://www.coloradolegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of Connecticut,legion_ct_09007,state,legion,legion,LEGION,world-war-1,World War I,CT,connecticut,Middlesex County,middlesex-county,ct_09007,269 Main St.,Cromwell,6416,41.767,-72.677,true,(860) 436-9986,a1autotransportjw@gmail.com,https://www.ctlegion.org/,https://www.facebook.com/CTLegion,https://www.instagram.com/aldepartmentofct/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/ctlegion?reload=9,,
District of Columbia American Legion Department,legion_dc_11001,state,legion,legion,LEGION,world-war-1,World War I,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,2121 Wisconsin Avenue,Washington,20007,38.905985,-77.033418,true,(724) 846-7927,membership@legion.org,https://www.dclegion.com,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Delaware,legion_de_10005,state,legion,legion,LEGION,world-war-1,World War I,DE,delaware,Sussex County,sussex-county,de_10005,PO Box 930,Seaford,19973,39.161921,-75.526755,true,(302) 628-5221,adjutant@DELegion.org,https://delegion.org/,https://www.facebook.com/DelawareGS/,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/c/CoastalgraphicsLLC,,
Florida American Legion Department,legion_fl_12095,state,legion,legion,LEGION,world-war-1,World War I,FL,florida,Orange County,orange-county,fl_12095,1912 A Lee Road,Orlando,32810,30.4518,-84.27277,true,(215) 307-3942,membership@legion.org,https://www.floridalegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of Georgia,legion_ga_13063,state,legion,legion,LEGION,world-war-1,World War I,GA,georgia,Clayton County,clayton-county,ga_13063,3035 Mt Zion Rd,Stockbridge,30281,33.76,-84.39,true,(724) 489-9059,info@georgialegion.org,https://georgialegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Department of Hawaii American Legion,legion_hi_15003,state,legion,legion,LEGION,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,612 McCully Street,Honolulu,96826,21.30895,-157.826182,true,(808) 946-6383,info@hilegion.org,https://www.hilegion.org/,https://www.facebook.com/the.american.legion,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion of Iowa,legion_ia_19153,state,legion,legion,LEGION,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,720 Lyon Street,Des Moines,50309,41.590939,-93.620866,true,(570) 265-6530,info@ialegion.org,https://www.ialegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Idaho Department,legion_id_16001,state,legion,legion,LEGION,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,901 W. Warren Street,Boise,83706,43.613739,-116.237651,true,(800) 433-3318,membership@legion.org,https://www.legion.org/idaho,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of Illinois,legion_il_17113,state,legion,legion,LEGION,world-war-1,World War I,IL,illinois,McLean County,mclean-county,il_17113,2720 E Lincoln St,Bloomington,61704,39.78325,-89.650373,true,(570) 385-5013,membership@legion.org,https://www.illegion.org/,https://facebook.com/1569649203338633,https://instagram.com/theamericanlegion,https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2Fphoto.php%3Ffbid%3D1057622449741576%26amp%3Bset%3Da.630283735808785%26amp%3Btype%3D3,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Indiana,legion_in_18097,state,legion,legion,LEGION,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,5440 Herbert Lord Road,Indianapolis,46216,39.790942,-86.147685,true,317-630-1300,membership@legion.org,https://www.indianalegion.org/,http://www.facebook.com/indianalegion,https://www.instagram.com/indylegion,http://www.twitter.com/IndyLegion,https://www.youtube.com/channel/UC9h9W-2V1wM3zAuz-yAu6Dg,,
Kansas Department of The American Legion,legion_ks_20177,state,legion,legion,LEGION,world-war-1,World War I,KS,kansas,Shawnee County,shawnee-county,ks_20177,1314 SW Topeka Blvd.,Topeka,66612,39.04,-95.69,true,(570) 473-3331,membership@legion.org,https://kansaslegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Kentucky American Legion,legion_ky_21111,state,legion,legion,LEGION,world-war-1,World War I,KY,kentucky,Jefferson County,jefferson-county,ky_21111,5536 New Cut Road,Louisville,40214,38.197274,-84.86311,true,(502) 587-1414,kylegion@bellsouth.net,https://www.kylegion.org/,https://www.facebook.com/the.american.legion,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Louisiana American Legion Department,legion_la_22033,state,legion,legion,LEGION,world-war-1,World War I,LA,louisiana,East Baton Rouge Parish,east-baton-rouge-parish,la_22033,602 North 5th Street,Baton Rouge,70802,30.45809,-91.140229,true,(570) 297-3122,membership@legion.org,https://www.lalegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Massachusetts,legion_ma_25025,state,legion,legion,LEGION,world-war-1,World War I,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,JFK Federal Building Room 1500D,Boston,2203,42.2352,-71.0275,true,(412) 233-9903,commanderblake2425@gmail.com,https://www.masslegion.org/,https://www.facebook.com/pages/The-American-Legion-Department-of-Massachusetts/286905846105?ref=hl,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Maryland,legion_md_24510,state,legion,legion,LEGION,world-war-1,World War I,MD,maryland,Baltimore city,baltimore-city,md_24510,101 N. Gay Street,Baltimore,21202,38.972945,-76.501157,true,(410) 230-4420,2fbf094365c74b66be38f09effef9966@MDLegion.org,https://www.mdlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Maine American Legion,legion_me_23011,state,legion,legion,LEGION,world-war-1,World War I,ME,maine,Kennebec County,kennebec-county,me_23011,5 Verti Drive,Winslow,4901,44.323535,-69.765261,true,207-873-3229,membership@legion.org,https://www.mainelegion.org/,https://www.facebook.com/TALDepartmentofMaine,https://instagram.com/theamericanlegion,http://www.twitter.com/LegionMaine,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Michigan,legion_mi_26065,state,legion,legion,LEGION,world-war-1,World War I,MI,michigan,Ingham County,ingham-county,mi_26065,212 N Verlinden Ave,Lansing,48915,42.7335,-84.5467,true,(570) 459-9129,membership@legion.org,https://www.michiganlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Minnesota,legion_mn_27123,state,legion,legion,LEGION,world-war-1,World War I,MN,minnesota,Ramsey County,ramsey-county,mn_27123,"20 W. 12th Street, Room 300A",St. Paul,55155,44.95,-93.094,true,(412) 364-6509,membership@legion.org,https://www.mnlegion.org/,https://www.facebook.com/MNLegion,https://www.instagram.com/mnamericanlegion/,https://twitter.com/MN_Legion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Missouri,legion_mo_29051,state,legion,legion,LEGION,world-war-1,World War I,MO,missouri,Cole County,cole-county,mo_29051,3341 American Ave,Jefferson City,65109,38.572954,-92.189283,true,(570) 853-3542,membership@legion.org,https://www.missourilegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
