title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number
NSDAR Alaska State Society,nsdar-ak,state,NSDAR,nsdar,,american-revolution,American Revolution,AK,alaska,Fairbanks North Star Borough,fairbanks-north-star-borough,,1342 Viewpointe Dr,Fairbanks,99709,64.8896617,-147.7733201,true,,,https://sites.rootsweb.com/~akacdar/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Alabama State Society,nsdar-al,state,NSDAR,nsdar,,american-revolution,American Revolution,AL,alabama,Marshall County,marshall-county,,Po Box 246,Grant,35747,34.5271354,-86.2529755,true,,,https://alabamasocietydar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Arkansas State Society,nsdar-ar,state,NSDAR,nsdar,,american-revolution,American Revolution,AR,arkansas,Benton County,benton-county,,6 Fulford Cir,Bella Vista,72715,36.4494805,-94.2765591,true,,,https://arkansas-dar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Arizona State Society,nsdar-az,state,NSDAR,nsdar,,american-revolution,American Revolution,AZ,arizona,Maricopa County,maricopa-county,,8630 S Dorsey Ln,Tempe,85284,33.3358545,-111.9193371,true,,,http://www.arizonadar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR California State Society,nsdar-ca,state,NSDAR,nsdar,,american-revolution,American Revolution,CA,california,Los Angeles County,los-angeles-county,,201 W Bennett Ave,Glendora,91741,34.139788,-117.866928,true,,,https://californiadar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Colorado State Society,nsdar-co,state,NSDAR,nsdar,,american-revolution,American Revolution,CO,colorado,Adams County,adams-county,,2125 Ranch Dr,Westminster,80234,39.9005091,-105.0121116,true,,,https://coloradodar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Connecticut State Society,nsdar-ct,state,NSDAR,nsdar,,american-revolution,American Revolution,CT,connecticut,Fairfield County,fairfield-county,,Co 7 Archer Lane,Darien,6820,41.0667793,-73.4869092,true,,,https://www.ctdar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR District of Columbia State Society,nsdar-dc,state,NSDAR,nsdar,,american-revolution,American Revolution,DC,district-of-columbia,District of Columbia,district-of-columbia,,4840 Macarthur Blvd Nw,Washington,20007,38.9170715,-77.0968297,true,,,https://www.dcdar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Delaware State Society,nsdar-de,state,NSDAR,nsdar,,american-revolution,American Revolution,DE,delaware,Sussex County,sussex-county,,30890 Mills Ridge Rd,Lewes,19958,38.7733961,-75.1379574,true,,,https://www.delawaredar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Florida State Society,nsdar-fl,state,NSDAR,nsdar,,american-revolution,American Revolution,FL,florida,Duval County,duval-county,,400 Timberwalk Ct Unit 1328,Ponte Vedra,32082,30.2274645,-81.3800824,true,,,https://fssdar.com/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
