title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,club_room,voice_of_democracy,boy_scouts,funeral_honors,patriots_pen,vfw_riders_group
VFW POST 1685,vfw-post-1685-ak,local,Post 1685,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,1200 W 33Rd Ave,Anchorage,99503,61.1906744,-149.9059155,true,(907) 562-1685,,,,,,,,1685,,true,true,false,false,true,false
VFW POST NO 9365,vfw-post-9365-ak,local,Post 9365,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Matanuska-Susitna Borough,matanuska-susitna-borough,ak_02170,301 E Lake View Ave,Wasilla,99654,61.576899,-149.44592,true,(907) 376-5820,,,,,,,,9365,,true,true,false,false,true,false
VFW POST NO 9785 CANTEEN,vfw-post-9785-ak,local,Post 9785,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,10527 Vfw Rd,Eagle River,99577,61.3156956,-149.5731951,true,(907) 694-2739,,,,,,,,9785,,true,true,false,false,true,false
VFW POST 9978 OR,vfw-post-9978-ak,local,Post 9978,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,101 Oklahoma St,Anchorage,99504,61.224055,-149.744611,true,(907) 338-4665,,,,,,,,9978,,true,false,false,false,false,false
VFW POST 9981 SOUTH ANCHORAGE,vfw-post-9981-ak,local,Post 9981,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,9191 Old Seward Hwy,Anchorage,99515,61.1377361,-149.8637967,true,(907) 349-8397,,,,,,,,9981,,false,false,false,false,false,false
VFW POST NO 10046,vfw-post-10046-ak,local,Post 10046,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Kenai Peninsula Borough,kenai-peninsula-borough,ak_02122,134 S Soldotna Ave,Soldotna,99669,60.4856208,-151.0615976,true,(907) 262-2722,,,,,,,,10046,,true,false,false,true,false,false
VFW POST 10252,vfw-post-10252-ak,local,Post 10252,vfw,VFW,spanish-american-war,Spanish-American War,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,3105 Mountain View Dr,Anchorage,99501,61.2206506,-149.822389,true,(907) 277-6263,,,,,,,,10252,,false,false,false,false,false,false
VFW POST 49 CLUB OFFICE,vfw-post-49-al,local,Post 49,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Mobile County,mobile-county,al_01097,2222 Dauphin Island Pkwy,Mobile,36605,30.6254642,-88.088147,true,(334) 471-9438,,,,,,,,49,,false,false,false,false,false,false
VFW Post 668,vfw-post-668-al,local,Post 668,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Jefferson County,jefferson-county,al_01073,1801 11Th Ave N,Birmingham,35234,33.524324,-86.815988,true,(205) 252-2696,,vfw668.org,,,,,,668,Yes,true,true,false,false,true,false
VFW POST NUMBER 924,vfw-post-924-al,local,Post 924,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Calhoun County,calhoun-county,al_01015,100 Us Highway 431 N,Anniston,36206,33.8270169,-85.7656688,true,(256) 238-8047,,,,,,,,924,,false,false,false,false,false,false
