title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number
VFW Department of Alaska,vfw-ak,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,AK,alaska,Matanuska-Susitna Borough,matanuska-susitna-borough,ak_02170,Address 500E Park Ave,Wasilla,99654,61.370716,-152.404419,true,907-452-1976,webmaster@vfwak.org,https://vfwak.org,https://www.facebook.com/departmentadjutant,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Alabama,vfw-al,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,AL,alabama,Montgomery County,montgomery-county,al_01101,1231 Carmichael Way,Montgomery,36106,32.806671,-86.79113,true,334-270-8399,alvfw@yahoo.com,https://vfwal.org,https://www.facebook.com/deptalvfw/,https://www.instagram.com/vfw.alabama/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Arkansas,vfw-ar,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,AR,arkansas,Faulkner County,faulkner-county,ar_05045,4210 East Kiehl Ave.,Sherwood,72120,34.969704,-92.373123,true,501-834-8392,adjqm@vfwar.org,https://vfwar.org,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Arizona,vfw-az,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,6423 South Ash Avenue,Tempe,85283,33.729759,-111.431221,true,480-941-5258,,https://vfwaz.com,https://www.facebook.com/vfw1departmentofarizona/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/watch?app=desktop&v=iud0tp_dhzi,https://www.linkedin.com/company/vfwhq,
VFW Department of California,vfw-ca,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,CA,california,Sacramento County,sacramento-county,ca_06067,9136 Elk Grove Blvd Ste 100,Elk Grove,95624,36.116203,-119.681564,true,916-509-8712,,https://vfwca.org,https://www.facebook.com/vfwca/,https://www.instagram.com/vfw_ca/?hl=en,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwca,
VFW Department of Colorado,vfw-co,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,CO,colorado,Jefferson County,jefferson-county,co_08059,155 Van Gordon Ste 205,Lakewood,80228,39.059811,-105.311104,true,(303) 421-1630,vfw@vfwco.org,https://vfwco.org/,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Connecticut,vfw-ct,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,CT,connecticut,Hartford County,hartford-county,ct_09003,PO BOX 429,ROCKY HILL,6067,41.597782,-72.755371,true,860-616-2363,veterans@ctvfw.org,https://vfwct.org,https://www.facebook.com/vfwct,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Delaware,vfw-de,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,DE,delaware,Kent County,kent-county,de_10001,166 Old Camden Road,Camden,19904,39.318523,-75.507141,true,800-273-8255,vfw@vfw.org,https://vfwde.com,https://www.facebook.com/delawarevfw/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Florida,vfw-fl,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,FL,florida,Marion County,marion-county,fl_12083,543 N.E. Sanchez Avenue,Ocala,34470,27.766279,-81.686783,true,352-622-5126,statecg@vfwfl.org,https://vfwfl.org,https://www.facebook.com/groups/106524127451/,https://www.instagram.com/,,http://www.youtube.com/user/vfwvids,https://www.linkedin.com/,
VFW Department of Georgia,vfw-ga,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,GA,georgia,Bibb County,bibb-county,ga_13021,PO Box 3025,Macon,31205,33.040619,-83.643074,true,(478) 474-3737,adj@georgiavfw.org,https://vfwga.com,https://www.facebook.com/georgiavfw,https://www.instagram.com/georgiavfw,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
